Threads,IntrinsicsMapper,SuperOptimizer,Compiler,Machine,Average Time
1,0,0,gcc,ARM,1166.44
2,0,0,gcc,ARM,588.13
3,0,0,gcc,ARM,393.90
4,0,0,gcc,ARM,296.91
5,0,0,gcc,ARM,239.37
6,0,0,gcc,ARM,200.08
7,0,0,gcc,ARM,172.52
8,0,0,gcc,ARM,151.37
9,0,0,gcc,ARM,135.46
10,0,0,gcc,ARM,122.54
11,0,0,gcc,ARM,112.11
12,0,0,gcc,ARM,103.44
13,0,0,gcc,ARM,96.09
14,0,0,gcc,ARM,89.73
15,0,0,gcc,ARM,84.33
16,0,0,gcc,ARM,79.65
1,0,0,gcc,AMD,594.72
2,0,0,gcc,AMD,344.77
3,0,0,gcc,AMD,306.18
4,0,0,gcc,AMD,299.93
5,0,0,gcc,AMD,250.51
6,0,0,gcc,AMD,220.06
7,0,0,gcc,AMD,198.67
8,0,0,gcc,AMD,190.06
9,0,0,gcc,AMD,195.37
10,0,0,gcc,AMD,191.99
11,0,0,gcc,AMD,195.37
12,0,0,gcc,AMD,192.73
13,0,0,gcc,AMD,195.39
14,0,0,gcc,AMD,193.40
15,0,0,gcc,AMD,192.21
16,0,0,gcc,AMD,196.78
