Threads,IntrinsicsMapper,SuperOptimizer,Compiler,Machine,Average Time
1,0,0,gcc,INTEL,925.19
2,0,0,gcc,INTEL,489.16
3,0,0,gcc,INTEL,340.40
4,0,0,gcc,INTEL,265.96
5,0,0,gcc,INTEL,222.59
6,0,0,gcc,INTEL,192.77
7,0,0,gcc,INTEL,172.44
8,0,0,gcc,INTEL,157.52
9,0,0,gcc,INTEL,144.20
10,0,0,gcc,INTEL,133.81
11,0,0,gcc,INTEL,127.88
12,0,0,gcc,INTEL,120.18
13,0,0,gcc,INTEL,115.32
14,0,0,gcc,INTEL,110.86
15,0,0,gcc,INTEL,107.64
16,0,0,gcc,INTEL,106.22
1,0,0,gcc,ARM,1166.44
2,0,0,gcc,ARM,588.13
3,0,0,gcc,ARM,393.90
4,0,0,gcc,ARM,296.91
5,0,0,gcc,ARM,239.37
6,0,0,gcc,ARM,200.08
7,0,0,gcc,ARM,172.52
8,0,0,gcc,ARM,151.37
9,0,0,gcc,ARM,135.46
10,0,0,gcc,ARM,122.54
11,0,0,gcc,ARM,112.11
12,0,0,gcc,ARM,103.44
13,0,0,gcc,ARM,96.09
14,0,0,gcc,ARM,89.73
15,0,0,gcc,ARM,84.33
16,0,0,gcc,ARM,79.65
