Threads,IntrinsicsMapper,SuperOptimizer,Compiler,Machine,Average Time
1,0,0,gcc,Graviton (SIMD Disabled),4546.53
2,0,0,gcc,Graviton (SIMD Disabled),2273.98
3,0,0,gcc,Graviton (SIMD Disabled),1518.55
4,0,0,gcc,Graviton (SIMD Disabled),1139.68
5,0,0,gcc,Graviton (SIMD Disabled),913.10
6,0,0,gcc,Graviton (SIMD Disabled),761.35
7,0,0,gcc,Graviton (SIMD Disabled),653.65
8,0,0,gcc,Graviton (SIMD Disabled),571.90
9,0,0,gcc,Graviton (SIMD Disabled),509.60
10,0,0,gcc,Graviton (SIMD Disabled),458.82
11,0,0,gcc,Graviton (SIMD Disabled),417.77
12,0,0,gcc,Graviton (SIMD Disabled),383.41
13,0,0,gcc,Graviton (SIMD Disabled),354.58
14,0,0,gcc,Graviton (SIMD Disabled),329.38
15,0,0,gcc,Graviton (SIMD Disabled),308.20
16,0,0,gcc,Graviton (SIMD Disabled),288.83
1,0,0,gcc,Graviton (Native Build),1166.44
2,0,0,gcc,Graviton (Native Build),588.13
3,0,0,gcc,Graviton (Native Build),393.90
4,0,0,gcc,Graviton (Native Build),296.91
5,0,0,gcc,Graviton (Native Build),239.37
6,0,0,gcc,Graviton (Native Build),200.08
7,0,0,gcc,Graviton (Native Build),172.52
8,0,0,gcc,Graviton (Native Build),151.37
9,0,0,gcc,Graviton (Native Build),135.46
10,0,0,gcc,Graviton (Native Build),122.54
11,0,0,gcc,Graviton (Native Build),112.11
12,0,0,gcc,Graviton (Native Build),103.44
13,0,0,gcc,Graviton (Native Build),96.09
14,0,0,gcc,Graviton (Native Build),89.73
15,0,0,gcc,Graviton (Native Build),84.33
16,0,0,gcc,Graviton (Native Build),79.65
1,0,0,gcc,Graviton (With HACO),464.27
2,0,0,gcc,Graviton (With HACO),241.55
3,0,0,gcc,Graviton (With HACO),169.55
4,0,0,gcc,Graviton (With HACO),132.37
5,0,0,gcc,Graviton (With HACO),110.81
6,0,0,gcc,Graviton (With HACO),94.23
7,0,0,gcc,Graviton (With HACO),85.64
8,0,0,gcc,Graviton (With HACO),77.52
9,0,0,gcc,Graviton (With HACO),72.04
10,0,0,gcc,Graviton (With HACO),67.35
11,0,0,gcc,Graviton (With HACO),63.83
12,0,0,gcc,Graviton (With HACO),66.61
13,0,0,gcc,Graviton (With HACO),67.00
14,0,0,gcc,Graviton (With HACO),66.38
15,0,0,gcc,Graviton (With HACO),65.02
16,0,0,gcc,Graviton (With HACO),63.38
